"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.6270259290383e-89,1.50801123632049,1,0.999,3.9297557264062e-85,"0","ACTB"
8.35458067303891e-65,1.12643243197217,1,0.936,2.01788186995909e-60,"0","FRZB"
3.91791485539191e-58,1.06660298690071,1,0.998,9.46293975022809e-54,"0","ACTG1"
8.80567802612096e-51,1.72576940463017,0.931,0.702,2.126835413649e-46,"0","RARRES2"
7.32424115999288e-47,1.50553690559863,0.907,0.607,1.76902396737308e-42,"0","GOT1"
9.05241478723033e-47,0.964246284707742,0.994,0.951,2.18642974355974e-42,"0","PNP"
2.67936986048866e-45,0.649734306730156,1,1,6.47148202403826e-41,"0","EIF1"
1.04507628043921e-44,1.09897560366653,0.994,0.94,2.52417274014482e-40,"0","RHOC"
1.73773792358591e-44,1.25232800519948,0.991,0.837,4.19715840683706e-40,"0","TF"
3.76170519024466e-43,0.650227015814064,1,0.989,9.08564654599792e-39,"0","ANXA2"
6.08913437932106e-43,0.946544392187463,0.997,0.94,1.47070862663741e-38,"0","GPRC5A"
1.00857326885231e-42,1.42959169997114,0.964,0.857,2.43600701625898e-38,"0","TPM4"
6.46356485264159e-42,1.20684644397306,0.967,0.837,1.56114481885852e-37,"0","TUBB6"
4.41410716931583e-40,1.18641706095474,0.982,0.786,1.06613930460485e-35,"0","FHL2"
5.81593976702215e-39,1.12514545425726,0.964,0.853,1.40472393192886e-34,"0","PDLIM4"
6.01986846870732e-39,0.773593950287888,1,0.982,1.45397883124688e-34,"0","C2orf82"
6.49100866824918e-39,1.30880751845808,0.865,0.556,1.56777332364223e-34,"0","WIF1"
3.33097905686816e-38,1.06821288075336,0.976,0.82,8.04531371605367e-34,"0","BLOC1S2"
1.28022690360573e-37,1.69158238389812,0.826,0.574,3.09213204027891e-33,"0","ZNF365"
8.84146359070775e-37,0.981522931296895,0.997,0.936,2.13547870106364e-32,"0","CLEC3A"
1.83715977472113e-36,0.805047607902452,0.997,0.969,4.43729200388396e-32,"0","TNFRSF12A"
6.21737786257705e-36,1.06114936363371,0.994,0.954,1.50168327514824e-31,"0","CYTL1"
1.9542026091075e-35,0.97607894042652,0.976,0.912,4.71998556177735e-31,"0","SARS"
2.43827448257183e-34,1.44821920376297,0.823,0.539,5.88916435775575e-30,"0","ITGA2"
3.03764478969617e-33,1.42351152070117,0.961,0.855,7.33682346055317e-29,"0","ERCC1"
4.88032525845913e-33,0.552763874120054,1,1,1.17874495967563e-28,"0","SCRG1"
8.45977498121815e-33,0.693098789055456,0.997,0.989,2.04328945121362e-28,"0","GPX3"
1.38466633320509e-32,0.820830778818705,1,0.993,3.34438459459026e-28,"0","INHBA"
2.23149436087141e-32,0.7255323436345,0.991,0.927,5.38972832981273e-28,"0","SPINT2"
1.95298667648314e-31,1.31428739985128,0.844,0.548,4.71704871970973e-27,"0","ATP6V0A1"
3.71936770148529e-31,0.675297107275636,1,0.998,8.98338880939741e-27,"0","S100A10"
1.7459488333424e-30,1.0553297647447,0.94,0.757,4.2169902171719e-26,"0","CLCF1"
5.47751141589828e-30,0.698030687684192,1,0.981,1.32298333228191e-25,"0","CFH"
1.28954838476106e-29,0.947961983277162,0.919,0.721,3.11464621371338e-25,"0","WDR1"
1.49227472594711e-29,0.755102870307853,0.994,0.974,3.60429114558005e-25,"0","CD9"
1.8097258633937e-29,0.816907949947147,0.988,0.889,4.37103087785479e-25,"0","MYL12A"
2.01879479284567e-29,0.495634057397021,1,0.968,4.87599506316013e-25,"0","MIA"
3.33175630698456e-29,0.669207054889646,1,0.999,8.04719100825981e-25,"0","SERPINA1"
9.51758895353463e-29,0.970747908250394,0.889,0.639,2.29878325994722e-24,"0","TRAF3IP2"
1.41471958863832e-28,0.843487631571971,0.997,0.953,3.41697222243814e-24,"0","PGAM1"
1.4851592963715e-28,0.86255631281797,0.943,0.739,3.58710524852609e-24,"0","PGM3"
1.75874517378452e-28,0.611418538385645,0.994,0.977,4.24789721824175e-24,"0","PRDX1"
6.53691021366808e-28,1.40066366445552,0.602,0.283,1.57885992390725e-23,"0","ST8SIA1"
1.2670404046958e-27,0.717350246520225,0.994,0.933,3.06028268946176e-23,"0","SERPINA5"
1.59662115082614e-27,0.526979098406355,1,0.994,3.85631906559038e-23,"0","MYL6"
2.61513483092769e-27,1.47043933639096,0.575,0.262,6.31633515713964e-23,"0","BEX2"
4.12644540391913e-27,0.468598363238172,1,0.988,9.96660358408587e-23,"0","CHAD"
5.19948869598026e-27,2.01308695671067,0.707,0.41,1.25583250474011e-22,"0","CAMTA2"
5.78960592435455e-27,1.2416337238414,0.731,0.445,1.39836351890935e-22,"0","ZYX"
1.94424723061089e-26,0.615707128904142,0.994,0.924,4.69594033609448e-22,"0","S100B"
2.32911455250903e-26,1.40867415791893,0.695,0.391,5.62551037867507e-22,"0","CDA"
2.42012321909983e-26,0.880080631980342,0.817,0.536,5.84532361109183e-22,"0","CDC42SE1"
3.47867104183261e-26,1.01257182411068,0.868,0.629,8.4020341673383e-22,"0","TCEAL2"
3.51394018608045e-26,0.495571135568302,0.988,0.94,8.4872197314401e-22,"0","HLA-B"
4.04845188588878e-26,0.826873580862452,0.967,0.829,9.77822583998717e-22,"0","PTPRE"
6.17116486749879e-26,1.99361082997592,0.452,0.18,1.49052145044698e-21,"0","ZNF527"
8.49302479078879e-26,0.960235925596276,0.904,0.685,2.05132027771922e-21,"0","GLIPR1"
1.22050659397898e-25,0.747517140059537,0.979,0.866,2.94788957643744e-21,"0","ITM2A"
1.35946121579945e-25,0.677273584840577,0.982,0.933,3.28350667452042e-21,"0","SRSF7"
2.81934412223802e-25,0.866586670278654,0.907,0.734,6.80956185844149e-21,"0","ACTR3"
3.7086669077129e-25,0.996211535373547,0.928,0.73,8.95754318219897e-21,"0","U2AF1"
4.22348424530999e-25,0.472895027984729,1,0.99,1.02009814976972e-20,"0","FGFBP2"
4.9092562261629e-25,0.79617921139183,0.943,0.829,1.18573265630512e-20,"0","P3H2"
7.85061647373395e-25,0.915767532769425,0.934,0.758,1.89615939690096e-20,"0","NOTCH2NL"
1.06492433050932e-24,0.924942731093736,0.91,0.75,2.57211173547916e-20,"0","NDEL1"
2.26094770751258e-24,1.00236707227501,0.886,0.659,5.46086699795512e-20,"0","SNHG15"
2.90277399083083e-24,0.986662912590933,0.74,0.467,7.01107002005371e-20,"0","C15orf57"
8.34542882602478e-24,0.931584797583465,0.931,0.792,2.01567142434976e-19,"0","ASNS"
1.04738226398214e-23,0.927827700670237,0.976,0.894,2.52974238219606e-19,"0","HBEGF"
1.18551795918535e-23,0.995111870379615,0.832,0.617,2.86338152682039e-19,"0","ZNF593"
1.44291523533532e-23,0.910263618396105,0.719,0.449,3.4850731679054e-19,"0","CHRDL2"
3.25354191050614e-23,0.634494602338611,0.901,0.661,7.85827977644547e-19,"0","GREM1"
4.24766646916904e-23,0.696890313363986,0.988,0.927,1.0259388822984e-18,"0","HSPA9"
6.41419601676258e-23,0.638194667341921,0.976,0.876,1.54922076392867e-18,"0","NGFRAP1"
1.23597915432952e-22,1.09955082666033,0.787,0.546,2.9852604514521e-18,"0","GIPR"
2.48883432151584e-22,0.549874360063467,0.994,0.967,6.01128153675721e-18,"0","NDUFA4L2"
2.60413608887501e-22,2.26909442712525,0.749,0.512,6.28976989545981e-18,"0","S100A3"
2.68921295246335e-22,1.35347825390783,0.725,0.472,6.49525604408473e-18,"0","DSC2"
3.06361878140871e-22,0.893917263322426,0.841,0.591,7.39955844273645e-18,"0","ALDOC"
3.42861651367808e-22,1.2797341399496,0.817,0.596,8.28113746548666e-18,"0","MSMO1"
4.01784238232282e-22,1.0198180829961,0.988,0.951,9.70429470602431e-18,"0","FGF1"
6.18125120719395e-22,0.551515483904367,0.997,0.977,1.49295760407355e-17,"0","RAN"
1.06380753447447e-21,1.29579957082993,0.838,0.627,2.5694143380162e-17,"0","CDC37L1"
2.42022055775681e-21,0.658908460370351,1,0.995,5.84555871315003e-17,"0","ANXA1"
2.4302832421499e-21,0.71371626399669,0.856,0.593,5.86986311476465e-17,"0","METRNL"
6.13654658436668e-21,0.533421967083011,0.988,0.912,1.48216009652208e-16,"0","LRRFIP1"
1.4537259206354e-20,0.432590904146074,0.997,0.984,3.51118421611067e-16,"0","PCOLCE2"
1.87629407038518e-20,1.03099723436863,0.799,0.579,4.53181306820132e-16,"0","ATG101"
2.08933481666541e-20,1.64061693754615,0.677,0.455,5.04637038269196e-16,"0","GPR183"
2.22130100521149e-20,1.0631639935975,0.683,0.417,5.3651083178873e-16,"0","RELT"
2.76488326984782e-20,0.781449861207291,0.793,0.555,6.67802256166344e-16,"0","ARPC5L"
2.98109397666218e-20,2.00907010191569,0.88,0.725,7.20023628183216e-16,"0","CCL2"
4.21452245274701e-20,0.656754465962296,0.982,0.91,1.01793360801199e-15,"0","EIF1B"
4.31951583346945e-20,0.977725190082219,0.757,0.507,1.04329265925788e-15,"0","EMG1"
4.71843579280295e-20,0.544379273229588,0.994,0.964,1.1396437970357e-15,"0","UAP1"
5.20800235148711e-20,0.54518345272679,0.985,0.933,1.25788880795468e-15,"0","RAB1A"
5.4632831088627e-20,0.584270788889818,0.994,0.99,1.31954676928361e-15,"0","SERPINA3"
6.67125287696985e-20,0.688214749669913,0.928,0.781,1.61130770737453e-15,"0","SNRPD1"
9.08215835142684e-20,0.543267861494236,0.967,0.861,2.19361370662012e-15,"0","GARS"
1.02116489547601e-19,1.69124455653737,0.41,0.177,2.4664195720432e-15,"0","SERPINA6"
1.19458230498447e-19,1.58847929890498,0.572,0.328,2.885274641229e-15,"0","FST"
1.31751190491531e-19,0.849252766568607,0.76,0.522,3.18218650394194e-15,"0","SESN2"
1.5271275703095e-19,1.12763445614032,0.734,0.491,3.68847122056854e-15,"0","ISG20"
1.71482974486335e-19,0.938355906208354,0.814,0.609,4.14182828276844e-15,"0","SRA1"
2.44760327534881e-19,2.43053471049442,0.38,0.163,5.91169619094997e-15,"0","TNFAIP8L3"
2.54528833217357e-19,0.742258761815752,0.928,0.737,6.14763490869883e-15,"0","CTNNAL1"
2.60040191195708e-19,0.654249245318504,0.952,0.855,6.28075073794994e-15,"0","DEGS1"
3.11799385564167e-19,0.533099678717297,0.994,0.931,7.53089055953131e-15,"0","SEC61B"
3.15824720628066e-19,0.60062061921312,0.955,0.807,7.62811447732968e-15,"0","RABGEF1"
3.64313417652433e-19,0.851861948845175,0.668,0.393,8.79926197655921e-15,"0","RAB30-AS1"
4.32358232446725e-19,0.621005602711785,0.737,0.459,1.04427483882858e-14,"0","SLC25A4"
4.81188263536407e-19,1.084391237504,1,0.986,1.16221401291948e-14,"0","CRYAB"
5.20865375954004e-19,0.798276956293407,0.925,0.792,1.25804614254171e-14,"0","HAX1"
7.61677005029493e-19,0.673515090913768,0.961,0.889,1.83967847024773e-14,"0","NFATC2"
9.43184827889172e-19,0.579291066084892,0.994,0.943,2.27807431480072e-14,"0","CDKN1A"
1.05393371484824e-18,0.74729704894584,0.925,0.77,2.54556610147295e-14,"0","CHAC1"
1.14946857404254e-18,0.662672444461512,0.868,0.651,2.77631144688495e-14,"0","NIFK"
1.58281797184869e-18,0.526084947126972,0.967,0.827,3.82298024740613e-14,"0","GPC6"
1.5977308110888e-18,0.416094369221836,1,1,3.85899922802278e-14,"0","C2orf40"
1.99755873379949e-18,0.887476639246907,0.853,0.664,4.8247036097459e-14,"0","DSP"
2.69315474314701e-18,0.574360704033131,0.958,0.885,6.50477665112297e-14,"0","ILF2"
2.82933808019819e-18,0.528366537171477,0.952,0.851,6.8337002651027e-14,"0","EIF3I"
2.94723365444065e-18,1.91404397247768,0.398,0.174,7.11845344557049e-14,"0","RASGRP3"
6.34472819671397e-18,0.87947823299741,0.757,0.549,1.53244220135233e-13,"0","LDLR"
6.7345998482112e-18,0.489535928340379,0.686,0.449,1.62660790133845e-13,"0","TIMM10B"
6.97177880371681e-18,0.352101362491732,0.997,0.96,1.68389373446172e-13,"0","PLAC9"
7.45849238681984e-18,0.528766897673707,0.835,0.571,1.8014496661886e-13,"0","STK40"
9.97278180970966e-18,0.894244092417618,0.692,0.434,2.40872599049917e-13,"0","NDRG2"
1.02561863147493e-17,0.990265895042909,0.76,0.546,2.4771766806014e-13,"0","FDFT1"
1.17688405762391e-17,0.720443046942271,0.856,0.664,2.84252806437904e-13,"0","FXYD1"
1.31314071548967e-17,0.733761293465055,0.868,0.663,3.17162877012221e-13,"0","MED10"
1.37290710019099e-17,1.01744629469905,0.707,0.479,3.3159825190913e-13,"0","TOMM34"
1.85285255785388e-17,1.37574367884907,0.763,0.577,4.47519478298448e-13,"0","ARC"
2.13051923691077e-17,0.682795187603928,0.979,0.851,5.14584311291058e-13,"0","TSPAN2"
2.14258019758261e-17,0.573095692252086,0.976,0.889,5.17497395122127e-13,"0","TUBA1C"
3.12393492671334e-17,0.413732253890074,0.991,0.935,7.54524002849074e-13,"0","COL11A2"
3.29325451465466e-17,0.957978655848499,0.973,0.905,7.95419762924539e-13,"0","PHLDA2"
3.3029453739213e-17,0.597907107303667,0.961,0.87,7.97760396163212e-13,"0","TAF7"
3.91736618192004e-17,0.989785788907811,0.458,0.219,9.46161453919148e-13,"0","CNTFR"
4.5433827981158e-17,1.19813462327636,0.659,0.439,1.09736324722891e-12,"0","KIF9"
5.54424653240271e-17,0.677300696576396,0.823,0.602,1.33910186497123e-12,"0","MINPP1"
6.24113719698143e-17,0.621431875306446,0.964,0.853,1.50742186718692e-12,"0","DUSP14"
7.82100582812256e-17,0.82459542819725,0.979,0.898,1.88900753766644e-12,"0","PDLIM5"
8.51328805602668e-17,0.730665586127412,0.88,0.736,2.05621446417212e-12,"0","MLF1"
8.83882139216359e-17,0.813516967117673,0.94,0.824,2.13484053084927e-12,"0","GOLIM4"
8.96048267263552e-17,0.374137139964157,0.982,0.947,2.16422537992166e-12,"0","FGF2"
9.28057510409134e-17,1.35331143944271,0.766,0.516,2.24153730489118e-12,"0","CD82"
9.7216539709287e-17,1.1337006609386,0.629,0.409,2.34807108359841e-12,"0","TTPAL"
9.86124195799162e-17,0.601070502094579,0.925,0.773,2.38178577011371e-12,"0","TES"
1.11818941894566e-16,0.663969329617444,0.856,0.64,2.70076290357944e-12,"0","SMOX"
1.24501187916935e-16,0.568327255525295,0.994,0.959,3.00707719175774e-12,"0","SLC3A2"
1.30200987976846e-16,0.755465783149032,0.737,0.497,3.14474446260476e-12,"0","NIP7"
1.3857190593725e-16,0.528018086982603,0.91,0.706,3.3469272441024e-12,"0","CHID1"
1.72863356934432e-16,1.27719907372956,0.269,0.092,4.17516866003733e-12,"0","MIEF2"
1.7390499850884e-16,1.64886447024716,0.398,0.187,4.20032742898402e-12,"0","HLA-G"
2.10970714236763e-16,0.604376365813854,0.964,0.855,5.09557566096053e-12,"0","TOMM5"
2.14622410944362e-16,0.704441546263472,0.895,0.709,5.18377509153918e-12,"0","NOP16"
2.30878109589502e-16,0.66349623280432,0.91,0.774,5.57639898091524e-12,"0","MAPK1IP1L"
2.70067836256631e-16,0.852837812856031,0.928,0.78,6.5229484491064e-12,"0","SPPL2A"
3.00804589528298e-16,0.915424155426641,0.781,0.561,7.26533325087698e-12,"0","UCHL3"
3.16597276624335e-16,0.694910745028157,0.889,0.758,7.64677402230757e-12,"0","UQCRFS1"
3.24860943145576e-16,0.950540465904813,0.769,0.578,7.84636635979511e-12,"0","RIPK2"
3.68076042730025e-16,0.622897559132382,0.973,0.873,8.89014066005829e-12,"0","LITAF"
3.98085685153284e-16,1.20903889772502,0.629,0.396,9.61496355350726e-12,"0","KRT8"
4.1116549329453e-16,0.560170548454898,0.976,0.872,9.93088015954279e-12,"0","SLC29A1"
5.19023179618102e-16,0.538440807855979,0.829,0.64,1.2535966857316e-11,"0","EBNA1BP2"
5.21516072655534e-16,0.478390170242036,0.892,0.749,1.25961777028491e-11,"0","ATP13A3"
6.38507837925291e-16,0.32366604053561,0.928,0.787,1.54218798094096e-11,"0","FOSL1"
6.94978589389679e-16,0.485224859503044,1,0.996,1.67858178695289e-11,"0","CILP"
7.33225720777512e-16,0.583479365679139,0.85,0.65,1.77096008339392e-11,"0","ELOVL5"
8.51686887855701e-16,0.575827942110487,0.967,0.846,2.05707934023787e-11,"0","RCN1"
1.06186281825524e-15,0.835379128217175,0.796,0.606,2.56471726493189e-11,"0","INHBA-AS1"
1.08043857868553e-15,0.961370556549606,0.689,0.447,2.60958329909915e-11,"0","USE1"
1.24135019527349e-15,0.773159563661475,0.638,0.376,2.99823312664406e-11,"0","FASTKD2"
1.31969798189582e-15,0.8755285287118,0.62,0.397,3.18746653567296e-11,"0","GOSR2"
1.51021024926208e-15,0.594617088839175,0.964,0.86,3.64761081504269e-11,"0","IDI1"
1.59398676144791e-15,0.758999212126841,0.904,0.764,3.84995622492513e-11,"0","UPP1"
1.60996910777136e-15,0.439567302208017,0.928,0.742,3.88855838600016e-11,"0","SDC4"
1.82187845314495e-15,1.38978544805594,0.766,0.534,4.400383027881e-11,"0","TAF9"
1.92045690224743e-15,0.655234492927384,0.934,0.773,4.63847955599821e-11,"0","SRI"
