"","GSM2183532_NTak_LBOV_Ext_Biopsy_ATR10_HG133_2-a1.CEL.gz","GSM2183533_NTak_LBOV_Ext_Biopsy_ATR11_HG133_2-a1.CEL.gz","GSM2183534_NTak_LBOV_Ext_Biopsy_ATR18_HG133_2-a1_2.CEL.gz","GSM2183535_NTak_LBOV_Ext_Biopsy_ATR9_HG133_2-a1.CEL.gz","GSM2183536_NTak_LBOV_Ext_Biopsy_ATR9_2_HG133_2-a1.CEL.gz","GSM2183537_NTak_LBOV_Ext_Biopsy_2005scoop30_HG133_2-a1.CEL.gz","GSM2183538_NTak_LBOV_Ext_Biopsy_2005scoop37_HG133_2-a1.CEL.gz","GSM2183539_NTak_LBOV_Ext_Biopsy_2000HSOA10_HG133_2-a1.CEL.gz","GSM2183540_NTak_LBOV_Ext_Biopsy_2003OA11_HG133_2-a1.CEL.gz","GSM2183541_NTak_LBOV_Ext_Biopsy_2003OA12_HG133_2-a1.CEL.gz","GSM2183542_NTak_LBOV_Ext_Biopsy_2003OA17_HG133_2-a1.CEL.gz","GSM2183543_NTak_LBOV_Ext_Biopsy_2003OA18_HG133_2-a1.CEL.gz","GSM2183544_NTak_LBOV_Ext_Biopsy_2005scoop32_HG133_2-a1.CEL.gz","GSM2183545_NTak_LBOV_Ext_Biopsy_2005scoop36_HG133_2-a1.CEL.gz","GSM2183546_NTak_LBOV_Ext_Biopsy_2006scoop48_HG133_2-a1.CEL.gz","GSM2183547_NTak_LBOV_Ext_Biopsy_LUMC3_HG133_2-a1.CEL.gz","GSM2183548_NTak_LBOV_Ext_Biopsy_LUMC59_HG133_2-a1.CEL.gz"
"1007_s_at",8.55753164341148,8.46091901986409,7.39682787650476,7.09456009455598,7.78266986341085,7.74689269094606,7.36911921665507,7.60252903096696,7.51443780170943,7.45267018299656,7.29131240322596,7.27946812419779,7.81017467295291,7.58172837362035,8.58108568472688,7.17587786290526,7.51812288633535
"1053_at",5.00379811385476,5.01618752999425,5.28845580816115,5.02758237512465,4.81259863194433,4.68590754242426,4.79754161603462,4.62585103188796,5.00379981762983,5.24510365691472,5.28024870981966,5.45320503248722,4.98248693608592,4.85640149022433,5.48434231812838,4.98243184900035,5.72708281116807
"117_at",5.08784383103567,5.43886995281874,5.49524837211366,5.5813796421201,5.41732821422431,5.34127315181616,5.21465389183239,5.38359440677312,5.80184229813846,5.19279101498063,5.89248672044695,5.48937346517181,5.64084004025495,5.53436052253769,5.0800682416827,5.84470275157298,5.68933552283446
"121_at",7.65674724032472,7.96005985944379,7.54529860947598,8.10869424817759,8.13871242912949,8.44769699786289,7.90256347372567,7.553545077728,7.98112543750771,7.91620403147029,8.25961979620171,7.84313885410947,8.77244198052038,8.07717933140099,7.50461544260553,8.10083731261487,8.12565089664609
"1255_g_at",3.70109108903439,3.7015343486273,3.63332507940215,3.53742231091713,3.56736171520845,3.59188832313837,3.74629475323404,3.52705391446561,3.75013214160269,3.63164510644657,3.57242479867321,4.38512223036853,4.40325674150317,3.51977781227524,3.62754463580247,4.39433032799483,4.50404423354259
"1294_at",6.49567726583962,6.31391828869225,6.62670497950238,6.93470367710197,6.86976687636055,6.7255814030901,6.74415038744615,6.49639316943534,7.19869308323084,7.36620712000426,7.26812881209778,7.20298223864672,6.82629684176425,6.84348902867757,6.47591667551919,7.40303568956651,7.31187974000661
"1316_at",5.39701690287398,5.25428023717257,4.93693427160124,5.14288234670896,4.96881073734363,5.13317116425014,5.16122919727623,5.27307209692808,4.88372733538611,4.97064798221131,5.16261021154627,4.88233112439003,5.29946131195208,5.4046648211351,5.57598497655928,5.30108902049077,4.97416767562952
"1320_at",4.51829176971239,4.27920268190612,4.06117839099912,4.40121501510809,4.26891965384368,4.42003260868514,4.25453461029824,4.15982611440622,4.26590830129761,4.43980596571312,4.20585461021444,4.08961889206482,4.31693786451291,4.0657241804035,4.49586050843764,4.52309414099394,4.20876543189565
"1405_i_at",3.74916923049299,3.76638977164489,4.62823576212213,3.67337673783929,4.25142880528907,4.5392453102198,4.12149358931437,4.81421820941994,4.13206157053728,6.8241741449432,4.00708606226799,5.54148213183782,4.35010878766165,3.70366600607793,4.14189286029118,4.5120934381556,4.25366824547558
"1431_at",3.80876984336077,3.79936698008514,3.64953375104143,3.65918809951704,3.42159564272015,3.75218710070338,3.56340710009461,3.48574916978391,3.54069399405912,3.50551894996074,3.66521374029335,3.53554675537846,3.63125964260895,3.6111271971263,3.77041096144372,3.78986252838675,3.85633352499526
"1438_at",4.97849806821651,5.1044181946197,4.82583938303978,4.97152704105637,5.02220570988385,5.45652201529855,5.05228706146495,5.14569980014304,4.87560251105046,4.88406807450943,5.0009783698102,4.95106044838675,5.25310797963889,4.76662830475024,4.81495405091389,5.27044921831107,4.87909941876783
"1487_at",7.78003834546863,7.60505927932763,6.21971020508466,6.20794455886869,6.2115399902519,6.03145686934425,6.0102619913271,6.40001850466017,6.29144016466984,6.39561131973743,6.40954094005345,6.50892948837315,6.23911806283265,6.36201584079013,7.84341237660258,6.54887345116268,6.62752741199287
"1494_f_at",5.46784195147993,5.40604300834054,4.97943699356457,5.34852240409639,5.09592956982703,5.89483777207474,5.43990465624311,5.49133636787534,5.46121313417773,5.25893637016437,4.87053406506215,5.29491425280613,5.70653914924723,5.37453605292223,5.43341623236917,5.10097618497475,5.01744912760068
"1552256_a_at",6.73109350845703,6.106828590724,5.84082499065612,6.18705595364673,6.85997257865571,6.68994941652507,6.6196124095322,6.94763234950055,7.10999106601597,6.87738922237478,6.82082768759143,7.3870284001519,7.05344859585919,6.38333564555037,6.39479960520681,6.54898076089536,5.98164721216467
"1552257_a_at",5.95868803589346,5.37025954087495,5.62091298045697,5.57299425421341,5.5981828906803,5.77191175316398,5.79605491884568,5.91083573774627,6.65761253821086,6.05553692633374,6.44406657113294,6.00932203329457,5.90905006839614,5.58876948360099,6.19258971892401,6.13009337588889,5.88457489555538
"1552258_at",3.92910051829783,3.7325022995225,3.94009035077875,3.92910051829783,4.24058067890779,4.29709854728593,4.37383263931051,4.30933189563493,3.95450597918303,3.70358455142148,3.87677098966635,3.60908234448979,4.01674339729577,3.97702143700477,3.92292402450305,3.92910051829783,4.47044188400221
"1552261_at",4.02903274103512,4.7442585181804,4.42570918324744,4.49441824296592,4.32037320384416,4.23394175535933,4.18710485019631,3.93752305554081,3.79300752697284,4.12681469839489,3.80154451659215,3.89112690022139,4.1603349250056,4.43747663125544,4.09467849961852,4.8759401196439,4.30344975927603
"1552263_at",4.17639967667225,3.1953352873715,4.61062641036029,5.14347981022553,5.55372379764323,4.59067351876931,4.98740137729142,5.02636830283361,6.16865253656487,5.47440986723201,6.08377115043093,5.75434534878623,5.50443839791826,5.18751784529892,4.04507810259464,4.86930262037938,5.76193825327494
"1552264_a_at",5.62340736192195,5.26189217184506,5.17794884428268,5.41159797942676,5.61494666227805,5.4400458938072,5.25537764792474,5.29823801319209,5.77358134543858,5.49974445132591,5.94302525363821,5.70372017239587,6.01549289095941,5.4936196355061,5.23921760512888,5.34795178542945,6.24520288357397
"1552266_at",3.66925700265707,3.59931906068747,4.58793800969326,3.87902217896168,3.79672308684414,3.91796373009202,3.86257473492842,3.79672308684414,3.92927419771979,3.79672308684414,3.5686378263053,3.45010299879665,3.97790409037781,3.61638004697154,3.66925700265707,4.15437625964809,3.98262614604618
"1552269_at",3.74628345886622,3.63893733107371,3.83056400806249,3.85996764004825,3.85488154589084,4.20820084090837,4.42140558705271,3.96948752899459,3.85996764004825,3.8472076036462,3.78536409103214,3.85996764004825,4.11119978430798,3.79610574916024,3.65215583318375,3.85996764004825,3.84612405954155
"1552271_at",5.67650207047517,5.31528157834796,4.98052129996812,5.35924980180588,5.13972258287549,5.7619356433033,5.5088520402808,5.03824775016848,5.20537998941361,4.81778496622746,4.78613039138365,5.06845607236098,5.43803773419764,5.08684480465959,5.54644356386319,5.39537213185807,4.87533656095952
"1552272_a_at",3.6259841310534,3.45249440709938,3.50875414392633,3.47634989140398,3.5602736920791,3.99037486603726,3.52549915304091,3.66705229104185,3.65564241080524,3.5602736920791,3.53632295025098,3.533319832308,3.5602736920791,3.68998139153424,3.45111904977307,3.59167994639126,3.38099291956061
"1552274_at",6.3993955560648,6.16840515274169,6.76827484011416,5.9307695164434,6.24241525407379,6.28165670048815,6.6429422741036,6.48969615433077,6.58254070545318,6.64202545052506,6.8262938986629,6.74028065597016,6.65937892135482,6.23986744311389,6.34856114599676,6.49307950523728,6.07664688672428
"1552275_s_at",4.85419386695275,4.77795997735658,5.33300351293469,4.83355475798932,4.64711601085697,4.1398765772761,4.40228565778388,4.53240134244569,5.13534662221345,4.89518899629024,5.29294083706558,5.07634620311963,4.77591000654379,4.39123833430058,5.15180834608487,4.5085846075236,6.24376966629677
"1552276_a_at",5.56781140467192,5.63044648309054,5.29298146369156,5.39091014467853,5.13853286947342,6.02285750513125,5.63881534114925,5.3889173753607,5.40238989858468,5.33999744789314,5.38001668509048,5.21961146273506,5.39091014467853,5.08848879383064,5.39558536144182,5.25382966792818,5.11994606313295
"1552277_a_at",6.23100366937042,5.74211719675586,6.28427508935728,5.64631054179197,6.06937304477356,5.58849661286529,5.89996715639691,5.93382472323027,6.43030998696967,6.24355998789678,6.39631053066531,5.92868163564428,6.39427895814012,5.8357695518854,6.02176436942714,5.96587257793337,8.19179349874276
"1552278_a_at",4.58443237237461,4.83003715478517,4.53608966819914,5.04811759102035,4.96675185230046,5.10899842692352,5.23846264835718,4.75204715380354,5.03098036711167,4.45685551087685,4.83443129830809,4.91573980827743,4.99812607938391,4.86098412139558,4.64317090520154,4.81705148133242,4.54817341117057
