"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.62248122994214e-08,2.53641877977218,0.26,0.138,0.000874937891467924,"0","CLDN4"
2.44760327534881e-19,2.43053471049442,0.38,0.163,5.91169619094997e-15,"0","TNFAIP8L3"
2.60413608887501e-22,2.26909442712525,0.749,0.512,6.28976989545981e-18,"0","S100A3"
0.00669298337427341,2.24204079968213,0.461,0.378,1,"0","S100A2"
3.67416594432429e-14,2.17599907151107,0.431,0.235,8.87421300532646e-10,"0","FGD6"
5.19948869598026e-27,2.01308695671067,0.707,0.41,1.25583250474011e-22,"0","CAMTA2"
2.98109397666218e-20,2.00907010191569,0.88,0.725,7.20023628183216e-16,"0","CCL2"
6.17116486749879e-26,1.99361082997592,0.452,0.18,1.49052145044698e-21,"0","ZNF527"
7.26650076249973e-06,1.95696036869174,0.377,0.253,0.175507792916656,"0","FABP3"
3.04296182747881e-05,1.93928865993065,0.461,0.339,0.734966570190958,"0","G0S2"
5.61729043303236e-16,4.01366151459411,0.498,0.279,1.35674415829031e-11,"1","PRG4"
2.05601513347663e-20,3.51216089261497,0.374,0.137,4.96589335188609e-16,"1","DEFB1"
3.01007766226563e-47,3.45323290129557,0.457,0.098,7.27024057767018e-43,"1","F5"
1.19587409229103e-15,3.35252157600578,0.403,0.188,2.88839469511052e-11,"1","VCAM1"
9.05844083765719e-40,3.26512767866419,0.486,0.137,2.18788521551934e-35,"1","GOLGA7B"
1.90754514837955e-58,3.1302049251826,0.539,0.104,4.60729379688113e-54,"1","FAP"
6.25684048006397e-45,2.95207346254795,0.387,0.064,1.51121468114985e-40,"1","SOX11"
2.62170184603495e-28,2.88434362453131,0.358,0.095,6.3321964687282e-24,"1","MAMDC2"
3.3132699489925e-40,2.79235653196813,0.823,0.514,8.00254090780159e-36,"1","TNFAIP6"
9.81213049083149e-41,2.75197870123359,0.708,0.325,2.36992387745053e-36,"1","CRLF1"
3.96125970590094e-33,2.67177940807885,0.989,0.919,9.56763056766255e-29,"2","CHI3L1"
2.35699554572997e-19,2.31712267516881,0.646,0.382,5.69285134160159e-15,"2","CDKN1C"
3.48408074158858e-22,2.07222867263372,0.59,0.295,8.41510021515891e-18,"2","TMEM176B"
1.55457296149398e-20,2.00072295490302,0.629,0.322,3.75476007389642e-16,"2","TMEM176A"
0.000155783027609269,1.83564957789421,0.494,0.357,1,"2","SGCD"
4.28896860042938e-07,1.76267762253593,0.275,0.136,0.0103591458606171,"2","FBLN1"
6.98912848664677e-11,1.71341788288709,0.444,0.236,1.68808420337979e-06,"2","STEAP4"
0.00771456828526411,1.68616366907706,0.275,0.191,1,"2","CXCL2"
4.72064610004224e-06,1.6418169262656,0.315,0.177,0.11401776525432,"2","EPHA2"
0.000189915612099402,1.62153843992288,0.494,0.374,1,"2","SLPI"
5.00630439980876e-31,6.27020811211345,0.274,0.037,1.20917270168581e-26,"3","DLK1"
6.98797175493776e-18,4.1493530514509,0.952,0.876,1.68780481797012e-13,"3","SLC5A12"
3.67721134051365e-08,4.10225343270047,0.393,0.221,0.000888156855074261,"3","PARP12"
