,group,dataset
Normal_Cart_10_8,normal,GSE114007
Normal_Cart_2_2,normal,GSE114007
Normal_Cart_3_3,normal,GSE114007
Normal_Cart_4_4,normal,GSE114007
Normal_Cart_5_5,normal,GSE114007
Normal_Cart_6_6,normal,GSE114007
Normal_Cart_7_3,normal,GSE114007
Normal_Cart_9_7,normal,GSE114007
normal_01,normal,GSE114007
normal_02,normal,GSE114007
normal_03,normal,GSE114007
normal_04,normal,GSE114007
normal_05,normal,GSE114007
normal_06,normal,GSE114007
normal_07,normal,GSE114007
normal_08,normal,GSE114007
normal_09,normal,GSE114007
normal_10,normal,GSE114007
OA_Cart_1_7,OA,GSE114007
OA_Cart_10_9,OA,GSE114007
OA_Cart_2_8,OA,GSE114007
OA_Cart_3_9,OA,GSE114007
OA_Cart_4_10,OA,GSE114007
OA_Cart_5_5,OA,GSE114007
OA_Cart_6_1,OA,GSE114007
OA_Cart_7_2,OA,GSE114007
OA_Cart_8_5,OA,GSE114007
OA_Cart_9_6,OA,GSE114007
OA_01,OA,GSE114007
OA_02,OA,GSE114007
OA_03,OA,GSE114007
OA_04,OA,GSE114007
OA_05,OA,GSE114007
OA_06,OA,GSE114007
OA_07,OA,GSE114007
OA_08,OA,GSE114007
OA_09,OA,GSE114007
OA_10,OA,GSE114007
