,PC1,PC2,group,dataset,naming_style
Normal_Cart_10_8,1.5520805790927208,-27.430751492213968,normal,GSE114007,Cart_style
Normal_Cart_2_2,-13.451962500885623,-29.12818659931155,normal,GSE114007,Cart_style
Normal_Cart_3_3,12.658622886271628,-22.29360969297491,normal,GSE114007,Cart_style
Normal_Cart_4_4,2.6059828295970267,-18.232073644405467,normal,GSE114007,Cart_style
Normal_Cart_5_5,8.956928258502527,-21.189137070564794,normal,GSE114007,Cart_style
Normal_Cart_6_6,56.150538492461195,0.8388764331744276,normal,GSE114007,Cart_style
Normal_Cart_7_3,2.73322715505168,-11.516348000755277,normal,GSE114007,Cart_style
Normal_Cart_9_7,25.705294871563922,-12.462809682843886,normal,GSE114007,Cart_style
normal_01,-21.83674739241536,0.3117856705220055,normal,GSE114007,short_style
normal_02,-24.845236281636144,0.21632320425630563,normal,GSE114007,short_style
normal_03,-24.850669955356533,-9.58868941301092,normal,GSE114007,short_style
normal_04,-23.353181042035736,-13.875336872392312,normal,GSE114007,short_style
normal_05,-26.621108868267385,-6.533799034837311,normal,GSE114007,short_style
normal_06,-22.41122717675973,-11.381437448740696,normal,GSE114007,short_style
normal_07,-21.863794658009954,-9.916361688031792,normal,GSE114007,short_style
normal_08,-21.747232912643582,-9.890054222410594,normal,GSE114007,short_style
normal_09,-15.665941622603723,1.2923834754779266,normal,GSE114007,short_style
normal_10,-22.687402600123306,-11.00661500448985,normal,GSE114007,short_style
OA_Cart_1_7,49.63447022080939,2.796932348325199,OA,GSE114007,Cart_style
OA_Cart_10_9,55.838177584445894,6.459778741926868,OA,GSE114007,Cart_style
OA_Cart_2_8,49.915732172336384,0.521763343867,OA,GSE114007,Cart_style
OA_Cart_3_9,69.66109952753402,14.142840320917156,OA,GSE114007,Cart_style
OA_Cart_4_10,40.51594637051609,-3.03152414300017,OA,GSE114007,Cart_style
OA_Cart_5_5,19.167944219348886,19.358545008627335,OA,GSE114007,Cart_style
OA_Cart_6_1,1.655851635365817,-8.083091231625065,OA,GSE114007,Cart_style
OA_Cart_7_2,10.869775626962811,-4.326731842179896,OA,GSE114007,Cart_style
OA_Cart_8_5,-4.615906786700881,-1.0632177889059695,OA,GSE114007,Cart_style
OA_Cart_9_6,-5.3912200258229035,-5.387542774319941,OA,GSE114007,Cart_style
OA_01,-18.28812626870034,20.179418528883282,OA,GSE114007,short_style
OA_02,-14.491597445156925,21.678503607945512,OA,GSE114007,short_style
OA_03,-20.13559816915772,12.266737532135775,OA,GSE114007,short_style
OA_04,-15.215440360498494,19.231657105497604,OA,GSE114007,short_style
OA_05,-11.784976401463354,27.117151321177975,OA,GSE114007,short_style
OA_06,-18.107363485300272,10.539973068466995,OA,GSE114007,short_style
OA_07,-13.439981372825248,17.628585831418306,OA,GSE114007,short_style
OA_08,-17.688575449018327,13.983913883715699,OA,GSE114007,short_style
OA_09,-9.833698598473982,25.494833174297696,OA,GSE114007,short_style
OA_10,-19.294683056004505,22.27731504638137,OA,GSE114007,short_style
