Sample_Id,Sample_Name,Group,Tissue
GSM2183532,HC-1,Control,Synovium
GSM2183533,HC-2,Control,Synovium
GSM2183534,HC-3,Control,Synovium
GSM2183535,HC-4,Control,Synovium
GSM2183536,HC-5,Control,Synovium
GSM2183537,HC-6,Control,Synovium
GSM2183538,HC-7,Control,Synovium
GSM2183539,OA-1,OA,Synovium
GSM2183540,OA-2,OA,Synovium
GSM2183541,OA-3,OA,Synovium
GSM2183542,OA-4,OA,Synovium
GSM2183543,OA-5,OA,Synovium
GSM2183544,OA-6,OA,Synovium
GSM2183545,OA-7,OA,Synovium
GSM2183546,OA-8,OA,Synovium
GSM2183547,OA-9,OA,Synovium
GSM2183548,OA-10,OA,
