"","normal_tissue_1","normal_tissue_2","normal_tissue_3","normal_tissue_4","normal_tissue_5","normal_tissue_6","normal_tissue_7","normal_tissue_8","normal_tissue_9","normal_tissue_10","normal_tissue_11","normal_tissue_12","normal_tissue_13","normal_tissue_14","normal_tissue_15","normal_tissue_16","normal_tissue_17","normal_tissue_18","normal_tissue_19","normal_tissue_20","normal_tissue_21","normal_tissue_22","normal_tissue_23","normal_tissue_24","normal_tissue_25","normal_tissue_26","normal_tissue_27","normal_tissue_28","OA_tissue_1","OA_tissue_2","OA_tissue_3","OA_tissue_4","OA_tissue_5","OA_tissue_6","OA_tissue_7","OA_tissue_8","OA_tissue_9","OA_tissue_10","OA_tissue_11","OA_tissue_12","OA_tissue_13","OA_tissue_14","OA_tissue_15","OA_tissue_16","OA_tissue_17","OA_tissue_18","OA_tissue_19","OA_tissue_20","OA_tissue_21","OA_tissue_22"
"7SK",8.77472389910523,9.79216850811118,9.30457833771567,8.43094461496849,7.95020603060186,7.86961753218885,9.31886263420322,8.7323843157846,3.10723006930734,8.53853994478843,8.85154836971403,8.20768133275726,8.10481090165011,8.4297071899774,6.86191278930833,9.2281697636075,7.83784863181061,9.34816221041084,9.89222119844339,7.5720063388747,8.59756088397917,8.14999716651459,9.66012241477229,9.066292608826,9.37007431225553,8.26818191179799,8.57858667577818,8.86312172156177,8.61918945501892,9.02216214358865,10.09232495251,10.1207264445407,9.8828685187288,9.65110242976309,9.89005646061515,8.99658754367363,8.34851777012753,7.65566256447279,8.36247266212278,8.76484228751484,9.00802537080642,9.18442436407017,9.50662590956852,10.8259658611931,10.0478446160186,10.4455802231347,10.140731767592,11.3447175252674,12.6624667508135,10.4029331595353
"7SK:ENSG00000260682",4.90097136299684,5.68986854392651,6.01408306585608,5.13607070011221,6.03270855898527,6.70318689976246,5.76488921822198,5.87335066373845,3.10723006930734,5.17174096538034,5.65648978089652,6.80082694167568,4.1803593128223,5.70300485781272,3.10723006930734,3.10723006930734,4.65231372318132,5.38510564109889,6.47546412970657,5.13476091001141,3.78184083209421,4.41219801944185,4.36183987821616,3.10723006930734,3.10723006930734,6.11239071819958,6.29874987459475,5.99299384779154,3.10723006930734,6.42197577429488,6.65379460035869,6.82793123735553,6.11833696386959,6.73003306423805,6.16689705167395,3.95900579145573,5.03848108667891,3.10723006930734,5.05049454941553,4.30320126844733,5.37279193151927,5.78447022406067,5.23168973954683,6.6069438156346,5.93623781441724,6.11689574659153,6.34723853938669,6.66783975348231,6.04836716018516,6.31845174738056
"A1BG",5.80612354000015,4.86870068166612,4.61917498259725,5.19928752324156,5.14524934695548,4.67036556663142,4.68854607468645,5.28907368084875,7.07948803645992,6.48305181425114,5.68537207615437,4.91054936740022,6.79976387443883,4.40914725475397,6.99381468282918,6.85422116595805,7.46825452119806,8.23545815751916,4.92959936936967,6.11961512148151,7.69233682546731,6.61408144822966,6.7908117207747,6.71955943831779,7.98976171122385,4.48765371664802,4.54822445669156,4.90925482033342,6.35310473564613,4.79417453281124,4.74583621518853,4.46844813739025,4.82059019993441,5.34038732247424,4.48536439018419,6.50183602084256,5.32754429227294,6.96145358524447,7.43346705600762,9.77477133654689,5.11194907197406,4.55232260079878,7.07060938159174,4.69048003986168,4.75743840686653,5.15110258522386,4.386607615656,4.37533705502877,5.46061357644957,4.76583901361678
"A1BG-AS1",6.67150655710839,4.75911583793152,4.81969599423035,6.49019443481121,6.06081003783484,6.09077746980649,5.68046570959464,6.32714425450465,3.10723006930734,6.73173710832762,6.66834424086435,5.96791689216671,5.58912423592492,6.22976809643287,3.10723006930734,6.36463613620213,3.90694701175797,6.72882391389277,6.19228090174337,4.59503246019721,6.24291373243989,5.24447935116559,6.50386516249152,7.10588500195503,6.56662480835426,5.85415255429153,6.19781042734461,6.29662578406835,3.10723006930734,6.56989842180841,5.82136574903191,5.16208209726336,5.82992931858336,6.27303684978595,5.82614739319896,7.39493400078154,6.22356172049273,6.10750055981636,6.11671378441442,8.55633281400771,6.64849037641315,5.8706649059203,8.11409803818267,6.13823648952082,5.76961417253858,6.06822852513036,5.90465825235184,6.17550056552886,6.02909171118469,5.82180956151714
"A2M",13.020490158575,12.5689966419349,13.0804125665652,13.3964524150506,14.2697203231708,13.3115892762265,13.4552142893749,13.9576912927881,12.6061696493313,13.3385648021025,14.3293692108579,14.4641386818196,12.5338188263097,13.6816055221831,12.2596023786192,12.8560537557705,13.2563870188984,11.9681827048488,14.4731586243196,13.3777137978113,13.5916871433076,13.4752690077554,12.4340958482698,13.110651320418,12.8275281024433,13.9694116720174,13.9871671240275,13.9887984732592,13.0782791602655,13.6290719184113,13.8564707602966,13.7147008737574,14.0380652060395,14.0437957694014,14.030485985146,12.8300274919692,12.884546203009,14.2256039442087,12.7545317787973,13.0714158468489,14.1473155966554,13.6024158162981,14.1148697229484,13.6867229018493,13.6878446758236,14.6730111502024,14.5588620811522,13.5386069357379,14.0610888064683,13.975578266234
"A2M-AS1",6.72136375277113,7.27810034411005,7.4954445632364,6.44126561119433,7.42514393379146,8.23987792858644,7.26048605585792,6.99493268104352,6.67218990146292,6.28913423937476,6.56563543605917,7.17096247784812,6.69872106170574,6.85874625762786,7.82927215977533,6.77684535849638,5.7518204482229,7.33633844442194,7.50106771462456,5.89100597180547,6.78899101066042,6.56856750807945,8.02664777115714,7.11936197182048,7.00636592178949,7.41476335981136,7.40660431363175,7.41146764982523,6.73459756168121,6.98565021797179,6.72020456771761,7.60283245086409,6.98308958393552,6.18672524435319,6.69256016780882,6.91551191104902,7.1207912026317,7.01621701343289,7.36080739347828,5.33897880808503,7.06228760655479,7.24382157820444,7.348639791592,7.44481351911076,6.4125152268734,6.17544164057634,6.27115645772683,7.75238110947703,6.43126692137442,6.78852680070788
"A2MP1",3.10723006930734,3.78488414807963,3.61785887186084,5.34503911078239,3.77837109913238,6.25640301937434,4.95843459931786,4.34160433323888,3.10723006930734,4.0090848189507,4.88686461300035,3.64797441407471,3.10723006930734,5.77246245232877,3.10723006930734,3.10723006930734,3.10723006930734,4.44060273869587,5.49843910210979,3.10723006930734,3.78184083209421,3.10723006930734,3.10723006930734,4.42685995321232,3.10723006930734,5.61788173024977,5.29523172152545,5.63934695519581,3.10723006930734,5.03300657405295,3.10723006930734,3.91212763941054,5.70642040719245,5.47972126012088,5.75538213399677,3.10723006930734,3.91208991480188,3.10723006930734,3.10723006930734,3.10723006930734,5.11194907197406,5.24532922762078,3.10723006930734,5.02358082490142,3.4547199820889,3.10723006930734,3.71456963513075,3.10723006930734,5.12787977440575,4.76583901361678
"A4GALT",11.2306129128705,8.06462272809302,9.1017869310221,10.1977365167527,9.72819811391743,9.12225016209834,9.34446303716426,9.74385819554954,11.1501855617422,10.7165535050639,10.8031083381426,9.11106254947007,11.1162355385878,10.2835916917851,9.87159627247413,10.7682074885365,10.0315757213321,12.4945975029629,9.08837399203217,10.0468503064233,11.5695202970975,11.0827466940297,12.5193780069255,12.6541600878291,12.8073983398286,8.6556171902578,9.08898836530854,9.96346674084805,9.85948221989572,8.50744389589418,8.34399864482614,9.43359723486729,8.83451947285118,7.67235359144372,8.30820087695973,12.5952510745453,10.1277061378417,10.0930657755684,11.5642644754206,12.5166470669535,10.2943236775708,9.88990541737964,11.0070253875084,6.68457933129175,7.23232354816699,7.29139303569734,7.45460258774822,6.60563545170412,6.57001153673981,8.16742153050235
"AAAS",9.61675306877627,8.68342249495152,8.40201724550167,9.04181359817352,8.47425262454739,8.33928204320633,8.16553490193381,9.08306388089411,8.12367553026315,8.59676261562449,9.34260868577471,8.56131155940935,8.68003523688242,9.33360100227086,6.86191278930833,8.84091000408003,7.51194901842658,9.24548114259609,8.65116650558494,8.29391182449273,8.61178994119529,8.11112295888264,10.275265000731,9.93536868172998,9.41334377680787,8.66728449630087,8.78359316403152,9.31332569456632,7.98922457224571,8.81547189363437,9.05281656110175,8.56867606359513,8.81798431145533,8.35416909098247,8.71552831294207,9.4458103613293,9.02448302539892,7.95015217763216,8.12034425468886,8.61904714324928,9.26127847207757,9.20483573503338,9.81470232062221,8.21270312923532,8.52226928624486,8.92487245827427,8.21175469245215,8.17401886322128,8.22532679150752,8.42652118320924
"AACS",9.46695485422501,7.52618466917322,8.60167265800453,9.03570338467321,8.98032323775965,8.7808482252188,8.88429341910837,8.80889230433106,8.7034467139021,8.92269085293875,9.4218657855353,8.49670084936745,9.34114703412281,9.29675858029974,8.30451555775297,8.44033768377934,8.784033277885,9.53389427400761,8.84951064429863,8.93871380967909,8.95646570887269,8.56672309698097,10.0127510241977,10.4042837440326,9.79409690176167,9.12871358180966,8.92889510909193,9.4075239457481,9.03372345520991,8.91310809466464,8.74550950026782,8.71766651666076,9.04451550612365,8.48690166280389,8.76383953513069,9.72947645797016,8.87599483747084,8.30817140063029,8.61938884379385,8.58803106981994,9.42300213330664,9.37419609393076,9.87032835081253,7.42565653111807,8.541857865044,8.68381611643887,7.98907282929557,7.9310677604894,8.00039182383079,8.5293421171579
