"Sample_ID","Group"
"normal_tissue_1","Normal"
"normal_tissue_2","Normal"
"normal_tissue_3","Normal"
"normal_tissue_4","Normal"
"normal_tissue_5","Normal"
"normal_tissue_6","Normal"
"normal_tissue_7","Normal"
"normal_tissue_8","Normal"
"normal_tissue_9","Normal"
"normal_tissue_10","Normal"
"normal_tissue_11","Normal"
"normal_tissue_12","Normal"
"normal_tissue_13","Normal"
"normal_tissue_14","Normal"
"normal_tissue_15","Normal"
"normal_tissue_16","Normal"
"normal_tissue_17","Normal"
"normal_tissue_18","Normal"
"normal_tissue_19","Normal"
"normal_tissue_20","Normal"
"normal_tissue_21","Normal"
"normal_tissue_22","Normal"
"normal_tissue_23","Normal"
"normal_tissue_24","Normal"
"normal_tissue_25","Normal"
"normal_tissue_26","Normal"
"normal_tissue_27","Normal"
"normal_tissue_28","Normal"
"OA_tissue_1","OA"
"OA_tissue_2","OA"
"OA_tissue_3","OA"
"OA_tissue_4","OA"
"OA_tissue_5","OA"
"OA_tissue_6","OA"
"OA_tissue_7","OA"
"OA_tissue_8","OA"
"OA_tissue_9","OA"
"OA_tissue_10","OA"
"OA_tissue_11","OA"
"OA_tissue_12","OA"
"OA_tissue_13","OA"
"OA_tissue_14","OA"
"OA_tissue_15","OA"
"OA_tissue_16","OA"
"OA_tissue_17","OA"
"OA_tissue_18","OA"
"OA_tissue_19","OA"
"OA_tissue_20","OA"
"OA_tissue_21","OA"
"OA_tissue_22","OA"
